index,APROVA,FRETE,UF,VALOR,DESCONTO,COND_PAGTO,CONTROLE,PERC
103,1,C,SP,495.025,52.83,28.0,-2.62,0.0
104,1,C,RJ,1019.602,49.98,30.0,0.42,27.34
105,1,C,RS,181.138,55.42,21.0,-9.55,14.0
106,1,C,SP,413.25,51.96,14.0,-2.8,0.0
107,1,C,SP,213.726,45.94,30.0,10.43,17.06
108,1,C,SP,264.24125,52.18,21.0,-3.4,20.83
109,1,C,MG,544.55,57.19,0.5,-16.53,70.31
110,1,C,PR,447.959,57.89,17.5,-14.23,0.0
111,1,C,CE,784.048,50.26,0.5,-2.15,50.0
112,1,C,SP,143.12,52.61,21.0,-2.98,0.0
113,1,C,CE,851.2995,50.07,0.5,-2.75,62.11
114,1,C,SP,333.86075,45.22,30.0,12.2,31.93
115,1,C,SP,485.74025,50.45,17.5,-3.29,79.07
116,1,C,RJ,536.8534999999998,49.54,30.0,1.85,12.95
117,1,C,SP,414.462,50.14,17.5,-5.93,99.92
118,1,C,GO,3491.9580000000005,50.23,21.0,3.92,52.12
119,1,C,CE,439.5,53.21,0.5,-10.8,95.24
120,1,C,CE,431.43625,54.35,21.0,-5.26,0.0
121,1,C,RS,348.4225,49.66,21.0,1.04,32.0
122,1,C,SP,250.636,46.19,30.0,10.16,25.74
123,1,C,CE,1116.96275,55.14,21.0,-13.59,84.92
124,1,C,CE,440.29750000000007,54.6,21.0,-11.03,58.54
125,1,C,CE,316.191,50.46,21.0,8.87,0.0
126,1,C,SP,1819.3,51.4,21.0,7.76,0.0
127,1,C,CE,309.62,53.69,21.0,-1.16,0.0
128,1,C,SP,5614.219999999998,51.4,21.0,9.12,0.0
129,1,C,MS,4090.04875,58.2,21.0,-14.64,26.79
130,1,C,MS,245.40599999999998,53.19,21.0,-4.35,0.0
131,1,C,MT,18305.35575,61.69,21.0,-20.63,23.78
132,1,C,SP,1327.3125,49.98,17.5,-5.31,92.31
133,1,C,DF,263.45,48.72,21.0,-2.16,92.39
134,1,C,SP,193.49475,53.17,21.0,-3.38,0.0
135,1,C,SP,124.12525,53.05,21.0,-3.91,0.0
136,1,C,SE,158.38025,53.1,21.0,-6.17,29.85
137,1,C,RJ,1446.1425,56.75,21.0,-13.69,38.98
138,1,C,SP,321.13725,45.59,30.0,11.38,11.46
139,1,C,SP,267.502,52.2,17.5,-4.31,0.0
140,1,C,SP,267.502,52.2,17.5,-4.31,0.0
141,1,C,SP,370.81875,51.36,21.0,-7.92,94.1
142,1,C,SP,734.0419999999999,46.36,30.0,7.73,44.68
143,1,C,CE,652.23975,50.76,0.5,-4.21,60.73
144,1,C,SP,181.638,45.88,20.0,11.43,10.58
145,1,C,MS,309.10575,53.31,21.0,-4.36,22.22
146,1,C,SP,297.9482500000001,45.09,30.0,12.38,18.58
147,1,C,RJ,511.05075,50.44,30.0,-2.2,47.53
148,1,C,SC,139.532,46.77,17.5,12.8,0.0
149,1,C,SP,226.3685,45.65,30.0,11.12,30.42
150,1,C,MS,754.40575,54.68,21.0,-8.84,37.56
151,1,C,MS,412.09225000000015,55.28,21.0,-8.21,27.03
152,1,C,MA,1916.543,47.1,21.0,6.87,12.72
153,1,C,MG,381.12975,57.62,0.5,-15.37,38.46
154,1,C,SP,338.249,45.48,30.0,12.02,7.84
155,1,C,SP,253.26725,52.93,21.0,-3.83,0.0
156,1,C,RJ,438.00625,50.29,30.0,-0.91,22.87
157,1,C,SP,294.61,52.55,21.0,-5.8,39.02
158,1,C,RS,159.25,48.21,14.0,2.67,18.75
159,1,C,RJ,475.45175000000006,49.56,30.0,2.72,5.51
160,1,C,MT,572.5575,55.82,21.0,-10.56,31.25
161,1,C,SP,325.97825,46.16,30.0,10.9,3.33
162,1,C,MT,1204.2395,57.18,21.0,-11.64,0.0
163,1,C,MG,164.55,59.91,14.0,36.41,0.0
164,1,C,RS,817.183,47.82,17.5,6.86,0.0
165,1,C,RS,907.71575,47.82,17.5,6.86,0.0
166,1,C,MT,1151.46625,56.75,21.0,-11.15,18.04
167,1,C,SP,364.82599999999996,45.38,30.0,11.29,37.47
168,1,C,SP,215.984,45.73,30.0,11.25,5.54
169,1,C,SP,175.50025,51.87,17.5,-3.76,0.0
170,1,C,MG,178.55,56.16,3.5,-10.44,78.95
171,1,C,SP,204.759,46.96,30.0,5.93,36.59
172,1,C,SP,6731.168750000002,48.93,14.0,5.88,0.0
173,1,C,SP,159.92825,47.85,17.5,8.25,5.62
174,1,C,SP,334.40325,45.41,30.0,10.63,21.9
175,1,C,SP,401.25,55.14,25.0,-7.41,0.0
176,1,C,MS,2193.72575,54.67,14.0,-8.17,0.0
177,1,C,RS,799.89125,51.93,30.0,-2.93,0.0
178,1,C,ES,277.55375,49.55,30.0,2.59,23.63
179,1,C,MT,79.01375,56.82,21.0,-12.61,0.0
180,1,C,SP,349.0030000000001,45.99,30.0,9.28,19.06
181,1,C,SP,228.9,51.99,14.0,-9.38,97.83
182,1,C,RS,1627.78,56.43,21.0,-12.87,60.19
183,1,C,SP,130.5,55.03,21.0,-7.23,0.0
184,1,C,SP,398.0,54.24,25.0,-6.89,0.0
185,1,C,RJ,5138.1825,57.42,22.5,-16.18,66.08
186,1,C,RJ,274.16675,54.44,21.0,-1.44,0.0
187,1,C,SP,478.416,51.87,17.5,-3.76,0.0
188,1,C,BA,1546.0175,56.91,21.0,-12.05,32.87
189,1,C,MT,987.5315,58.0,21.0,-14.4,0.0
190,1,C,PE,183.25,48.37,21.0,4.29,0.0
191,1,C,SP,1639.6740000000002,53.87,17.5,-7.05,45.26
192,1,C,BA,1082.882,56.53,21.0,-11.67,27.85
193,1,C,PE,651.755,48.99,0.5,-0.65,50.0
194,1,C,CE,234.3235,50.05,0.5,-2.57,67.65
195,1,C,SP,418.25825,54.27,21.0,-9.43,55.25
196,1,C,BA,410.8535,59.19,21.0,-12.83,58.04
197,1,C,MT,207.8025,57.18,17.5,-10.48,0.0
198,1,C,CE,865.605,49.93,0.5,-3.65,74.26
199,1,C,BA,810.61,56.12,21.0,-12.58,45.07
200,1,C,SP,557.1485,53.91,21.0,-4.12,0.0
201,1,C,MS,170.7945,52.98,0.5,-5.45,48.48
202,1,C,BA,195.4975,55.73,21.0,-10.15,33.33
203,1,C,SP,148.40025,55.25,21.0,-8.2,0.0
204,1,C,SP,225.80875000000003,52.76,17.5,-4.74,50.03
205,1,C,SP,246.17300000000003,49.81,0.5,-2.0,42.72
206,1,C,MS,709.56675,54.73,21.0,-9.41,44.31
207,1,C,MG,828.252,58.41,0.5,-14.74,11.56
208,1,C,MS,168.59125,52.57,0.5,-9.36,81.82
